dataset,dataset_label,model,model_label,n_images,det_rate_at_conf,mean_top1_conf,median_top1_conf,low_conf_rate,no_detection_rate,weird_box_rate,high_conf_weird_rate,box_jump_rate,bad_frame_rate,good_frame_rate,bad_streak_count,max_bad_streak,mean_bad_streak_len,p90_bad_streak_len,p95_bad_streak_len,bad_streaks_gt_10,bad_streaks_gt_30,bad_streaks_gt_50,bad_streaks_gt_80,good_streak_count,max_good_streak,mean_good_streak_len,p90_good_streak_len,p95_good_streak_len
lab,Lab,fda_mix,FDA-mix,6735,0.9824795722961426,0.7709528803825378,0.8177610039710999,0.017520416527986526,0.0004454342997632921,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.2345954030752182,0.7654045820236206,502,41,3.1474103927612305,6.0,10.0,22,3,0,0,502,235,10.268924713134766,25.79998779296875,45.849945068359375
lab,Lab,adapter_base,Adapter Base,6735,0.844840407371521,0.7175459265708923,0.8741050362586975,0.1551596075296402,0.0041573867201805115,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.19465479254722595,0.8053452372550964,215,71,6.097674369812012,13.0,31.300003051757812,32,12,2,0,216,465,25.11111068725586,82.0,162.0
lab,Lab,current_odad,Current Odad,6735,0.8703786134719849,0.7336825132369995,0.8942963480949402,0.12962138652801514,0.0,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.4587973356246948,0.5412026643753052,239,198,12.92887020111084,29.599990844726562,70.7999267578125,49,24,14,11,239,238,15.251046180725098,31.399993896484375,107.89982604980469
lab,Lab,membank_candidate,Membank Candidate,6735,0.8561246991157532,0.7161480188369751,0.8616273999214172,0.14387527108192444,0.0035634743981063366,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.18173719942569733,0.8182628154754639,222,67,5.513513565063477,12.899993896484375,20.949996948242188,29,8,2,0,223,465,24.71300506591797,41.199951171875,161.49996948242188
